name,category,price,rating,review_count,name_length,page_text_length,high_interest,product_url
Billy Bookcase White,bookcases,79.0,4.6,3057,3,2395,1,https://www.ikea.com/us/en/p/billy-bookcase-white-20522046/
Billy Bookcase Black Oak Effect,bookcases,89.0,4.6,3057,5,2955,1,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-40477340/
Billy Bookcase Brown Walnut Effect,bookcases,89.0,4.6,3057,5,2988,1,https://www.ikea.com/us/en/p/billy-bookcase-brown-walnut-effect-50508652/
Billy Bookcase Oak Effect,bookcases,89.0,4.6,3057,4,2981,1,https://www.ikea.com/us/en/p/billy-bookcase-oak-effect-10508932/
Billy Bookcase Dark Brown Oak Effect,bookcases,89.0,4.6,3057,6,2968,1,https://www.ikea.com/us/en/p/billy-bookcase-dark-brown-oak-effect-80492782/
Billy Bookcase White,bookcases,49.0,4.7,2184,3,1739,1,https://www.ikea.com/us/en/p/billy-bookcase-white-50522040/
Billy Bookcase Black Oak Effect,bookcases,59.0,4.7,2184,5,2309,1,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-70477334/
Billy Bookcase Brown Walnut Effect,bookcases,59.0,4.7,2184,5,2325,1,https://www.ikea.com/us/en/p/billy-bookcase-brown-walnut-effect-80508641/
Billy Bookcase Oak Effect,bookcases,59.0,4.7,2184,4,2318,1,https://www.ikea.com/us/en/p/billy-bookcase-oak-effect-60477382/
Billy Bookcase Dark Brown Oak Effect,bookcases,59.0,4.7,2184,6,2312,1,https://www.ikea.com/us/en/p/billy-bookcase-dark-brown-oak-effect-60492778/
Billy Bookcase Blue,bookcases,59.0,4.7,2184,3,1667,1,https://www.ikea.com/us/en/p/billy-bookcase-blue-40594928/
Billy Bookcase White,bookcases,49.0,4.6,1402,3,1622,1,https://www.ikea.com/us/en/p/billy-bookcase-white-90522043/
Billy Bookcase Brown Walnut Effect,bookcases,59.0,4.6,1402,5,2263,1,https://www.ikea.com/us/en/p/billy-bookcase-brown-walnut-effect-30508648/
Billy Bookcase Black Oak Effect,bookcases,59.0,4.6,1402,5,2215,1,https://www.ikea.com/us/en/p/billy-bookcase-black-oak-effect-00477337/
Billy Bookcase Oak Effect,bookcases,59.0,4.6,1402,4,2254,1,https://www.ikea.com/us/en/p/billy-bookcase-oak-effect-90477385/
Billy Bookcase Dark Brown Oak Effect,bookcases,59.0,4.6,1402,6,2234,1,https://www.ikea.com/us/en/p/billy-bookcase-dark-brown-oak-effect-40492779/
Brimnes Bookcase White,bookcases,149.0,4.7,1192,3,1548,1,https://www.ikea.com/us/en/p/brimnes-bookcase-white-90301225/
Brimnes Bookcase Black,bookcases,149.0,4.7,1192,3,1550,1,https://www.ikea.com/us/en/p/brimnes-bookcase-black-40301223/
Billy Bookcase Combination Crn Solution White S49581511,bookcases,160.0,3.9,89,7,1700,0,https://www.ikea.com/us/en/p/billy-bookcase-combination-crn-solution-white-s49581511/
Baggebo Bookcase White,bookcases,32.99,4.6,708,3,1624,1,https://www.ikea.com/us/en/p/baggebo-bookcase-white-20436713/
Billy Bookcase White S89581514,bookcases,158.0,4.7,948,4,1557,1,https://www.ikea.com/us/en/p/billy-bookcase-white-s89581514/
Billy Bookcase Combination Brown Walnut Effect S99581815,bookcases,178.0,4.7,947,7,1561,1,https://www.ikea.com/us/en/p/billy-bookcase-combination-brown-walnut-effect-s99581815/
Billy Bookcase Combination Dark Brown Oak Effect S79581816,bookcases,178.0,4.7,948,8,1564,1,https://www.ikea.com/us/en/p/billy-bookcase-combination-dark-brown-oak-effect-s79581816/
Billy Bookcase Combination Oak Effect S59581817,bookcases,178.0,4.7,948,6,1561,1,https://www.ikea.com/us/en/p/billy-bookcase-combination-oak-effect-s59581817/
Billy Bookcase With Height Extension Unit White S59638673,bookcases,109.0,4.6,291,8,984,1,https://www.ikea.com/us/en/p/billy-bookcase-with-height-extension-unit-white-s59638673/
